index,strategy,model,mean_diff,t_stat,p_value_one_sided,significant_10pct
S&P 500,long_only,ARIMA,-0.0002177857066557416,-1.893983263935321,0.9708555871330106,False
S&P 500,long_short,ARIMA,-0.0004357849972499665,-1.894898787942273,0.9709163121456943,False
S&P 500,long_only,LSTM,-0.00028082548416718845,-2.0883776789888024,0.9815911572172838,False
S&P 500,long_short,LSTM,-0.0005614373843958843,-2.0875847491679957,0.9815553747118452,False
S&P 500,long_only,LSTM-ARIMA,-0.00034539140987357867,-2.663204336277992,0.9961167312082316,False
S&P 500,long_short,LSTM-ARIMA,-0.0006909964036856406,-2.664013650987738,0.9961260470652674,False
FTSE 100,long_only,ARIMA,-8.766133099708072e-05,-0.8812166983534525,0.8108772126740971,False
FTSE 100,long_short,ARIMA,-0.00017553524702817273,-0.8822778437662836,0.8111641669350407,False
FTSE 100,long_only,LSTM,-6.929213374355602e-05,-0.5588782539765946,0.7118642897339902,False
FTSE 100,long_short,LSTM,-0.00013837168245309564,-0.5580215062919053,0.7115718698795814,False
FTSE 100,long_only,LSTM-ARIMA,3.7282678536606154e-05,0.3148061037631293,0.37646142124800086,False
FTSE 100,long_short,LSTM-ARIMA,7.477794210722865e-05,0.3157040131264079,0.3761205944264985,False
CAC 40,long_only,ARIMA,-5.625396014751483e-05,-0.4572592893121735,0.6762472594573007,False
CAC 40,long_short,ARIMA,-0.00011271721288606876,-0.4581085362733578,0.676552348057601,False
CAC 40,long_only,LSTM,-0.00011816028104698429,-0.8387515210935618,0.7991746359420171,False
CAC 40,long_short,LSTM,-0.00023611126950292297,-0.8380092820420643,0.7989662916567606,False
CAC 40,long_only,LSTM-ARIMA,-3.5310936119499076e-05,-0.2564624505581451,0.601197592513849,False
CAC 40,long_short,LSTM-ARIMA,-7.041257964795273e-05,-0.255702618311405,0.6009042587694734,False
