index,strategy,model,alpha,se_alpha,t_alpha,p_alpha_one_sided,beta,se_beta,t_beta,p_beta,significant_10pct
S&P 500,long_only,ARIMA,-6.901411625530811e-05,8.864425623020222e-05,-0.7785514729356389,0.7818583324199396,0.5933974719183583,0.007183718121085534,82.60311191451507,0.0,False
S&P 500,long_short,ARIMA,-0.00013823994743458038,0.00017728983010303895,-0.7797398607367202,0.7822082794322702,0.18678983569727617,0.014367543023745809,13.000819652223152,2.7340577022285934e-38,False
S&P 500,long_only,LSTM,-7.723073410352344e-05,8.960138478863943e-05,-0.8619368359730478,0.8056167806544723,0.443562175700214,0.007261283685532207,61.08591743688412,0.0,False
S&P 500,long_short,LSTM,-0.00015424975328307531,0.00017920356246538458,-0.8607516009223901,0.8052905196680329,-0.11287054046012764,0.014522631626605633,-7.772044582701352,0.9999999999999953,False
S&P 500,long_only,LSTM-ARIMA,-0.0001562547840952033,9.024503378104295e-05,-1.7314502255527606,0.9582813022021691,0.48307717900087227,0.007313444909812166,66.05330114030752,0.0,False
S&P 500,long_short,LSTM-ARIMA,-0.0003127212831143704,0.0001804910940798742,-1.732613371915067,0.9583848553739683,-0.03385075013769668,0.014626973008482196,-2.3142689959205227,0.9896519703837511,False
FTSE 100,long_only,ARIMA,-3.0131077674055772e-05,7.956047467370967e-05,-0.37871917931143795,0.6475432458810264,0.6393269079255218,0.007003848836541561,91.28222536584839,0.0,False
FTSE 100,long_short,ARIMA,-6.0473864747807624e-05,0.0001591223428500157,-0.38004634462181475,0.6480359106655371,0.27864832625700026,0.0140078203455732,19.89234009165885,6.56372141049104e-85,False
FTSE 100,long_only,LSTM,1.9971695005776755e-05,8.236402753383178e-05,0.24248079657801092,0.4042091053564917,0.4403803344188767,0.007250650536984886,60.7366652374898,0.0,False
FTSE 100,long_short,LSTM,4.015509941125382e-05,0.00016472870491313443,0.2437650404185998,0.40371171600139644,-0.11923384156819704,0.014501358281012134,-8.222253340524665,0.9999999999999999,False
FTSE 100,long_only,LSTM-ARIMA,0.00011871895655648289,8.293498151741379e-05,1.431470223834988,0.076180978423588,0.4894534179165439,0.007300912622650276,67.04003228282293,0.0,True
FTSE 100,long_short,LSTM-ARIMA,0.00023764962251266602,0.0001658704611544183,1.4327422788764324,0.07599899078556935,-0.021087674572862966,0.014601869095646232,-1.4441763882920013,0.9256220040046066,True
CAC 40,long_only,ARIMA,3.447262212501084e-05,9.559480750688876e-05,0.36061186819719965,0.3592027818565431,0.6034895443800232,0.007078361102271181,85.25837205259081,0.0,False
CAC 40,long_short,ARIMA,6.873638276756677e-05,0.00019119026298506126,0.3595182186288301,0.35961167284070483,0.20697720464783947,0.014156770183871454,14.62036905025447,1.0859217176542066e-47,False
CAC 40,long_only,LSTM,6.542018289072221e-07,9.776933190569655e-05,0.006691278503756503,0.49733072574577375,0.48073449303029514,0.007239374752718167,66.40552664438235,0.0,False
CAC 40,long_short,LSTM,1.5172651402745302e-06,0.00019553876265463583,0.007759408516634382,0.49690463697232035,-0.03852912982719694,0.014478756824329279,-2.661079973555104,0.9960924471415723,False
CAC 40,long_only,LSTM-ARIMA,7.827171277521312e-05,9.775570974362996e-05,0.8006868650484482,0.21167638792216975,0.5035996426220006,0.007238366093517753,69.57366291171627,0.0,False
CAC 40,long_short,LSTM-ARIMA,0.00015675228703288617,0.00019551146436435046,0.8017549637946877,0.21136730133033488,0.007201169356214147,0.01447673550998017,0.4974304705124789,0.309454211000319,False
