index,strategy,model,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%),paper_IR**(%)
S&P 500,Long Only,ARIMA,2.6261,15.0875,52.5785,8.5585,17.4058,0.8694,0.53
S&P 500,Long Short,ARIMA,-3.6126,19.5914,66.8533,18.36,-18.4398,-0.9965,7.13
S&P 500,Long Only,LSTM,1.3027,13.0409,51.5527,11.8084,9.989,0.2524,1.94
S&P 500,Long Short,LSTM,-6.6114,19.5799,73.8727,18.4997,-33.7665,-3.022,3.87
S&P 500,Long Only,HYBRID,-0.4127,13.6187,50.5454,15.2909,-3.0306,-0.0247,5.79
S&P 500,Long Short,HYBRID,-9.6226,19.6057,86.9691,18.36,-49.0804,-5.4304,7.18
S&P 500,Buy&Hold,S&P 500,7.5698,19.582,56.7754,5.4675,38.6569,5.1541,5.09
FTSE 100,Long Only,ARIMA,0.7717,14.4194,45.7959,7.2033,5.3521,0.0902,-1.91
FTSE 100,Long Short,ARIMA,-2.011,18.0352,59.1482,18.3409,-11.1503,-0.3791,0.07
FTSE 100,Long Only,LSTM,1.567,11.977,32.7589,3.9179,13.0836,0.6258,1.44
FTSE 100,Long Short,LSTM,-1.0928,18.0598,48.5409,18.6256,-6.051,-0.1362,0.67
FTSE 100,Long Only,HYBRID,4.2511,12.6255,31.7225,5.4428,33.6705,4.5121,7.19
FTSE 100,Long Short,HYBRID,4.3706,18.0597,49.9044,10.412,24.201,2.1195,16.65
FTSE 100,Buy&Hold,FTSE 100,2.4191,18.0328,47.8329,5.9302,13.4152,0.6785,0.66
CAC 40,Long Only,ARIMA,3.0045,16.6541,56.1933,8.5585,18.0408,0.9646,-1.93
CAC 40,Long Short,ARIMA,0.6291,21.4382,70.802,14.245,2.9346,0.0261,-0.21
CAC 40,Long Only,LSTM,1.695,14.8745,43.3567,6.8337,11.3954,0.4455,1.43
CAC 40,Long Short,LSTM,-2.4588,21.4669,57.9311,18.5845,-11.4541,-0.4862,0.97
CAC 40,Long Only,HYBRID,3.7882,15.2172,47.8291,5.3142,24.894,1.9717,3.04
CAC 40,Long Short,HYBRID,1.7072,21.4486,56.9625,6.4011,7.9596,0.2386,14.29
CAC 40,Buy&Hold,CAC 40,3.5259,21.438,59.1565,13.8563,16.4471,0.9803,0.98
