index,model,strategy,variant,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%),paper_IR**(%),diff
S&P 500,ARIMA,Long Only,base,2.6261,15.0875,52.5785,8.5585,17.4058,0.8694,0.53,0.34
S&P 500,ARIMA,Long Short,base,-3.6126,19.5914,66.8533,18.36,-18.4398,-0.9965,7.13,-8.13
S&P 500,ARIMA,Long Only,arima_orders_0_3,2.3234,14.7873,52.5785,8.7118,15.7123,0.6943,0.91,-0.22
S&P 500,ARIMA,Long Short,arima_orders_0_3,-4.2662,19.5896,68.1845,18.36,-21.7779,-1.3626,7.62,-8.98
S&P 500,ARIMA,Long Only,arima_bic,2.9432,14.5346,52.5785,8.6845,20.2498,1.1335,0.73,0.4
S&P 500,ARIMA,Long Short,arima_bic,-3.1732,19.5795,68.1845,18.36,-16.2067,-0.7542,7.86,-8.61
S&P 500,LSTM,Long Only,base,1.3027,13.0409,51.5527,11.8084,9.989,0.2524,1.94,-1.69
S&P 500,LSTM,Long Short,base,-6.6114,19.5799,73.8727,18.4997,-33.7665,-3.022,3.87,-6.89
S&P 500,LSTM,Long Only,dropout_0.05,1.164,12.7471,45.1807,10.6639,9.1312,0.2352,0.13,0.11
S&P 500,LSTM,Long Short,dropout_0.05,-6.9401,19.5927,78.5301,13.2238,-35.4218,-3.1304,2.13,-5.26
S&P 500,LSTM,Long Only,dropout_0.10,1.1363,12.2614,49.8743,10.7105,9.2671,0.2111,2.13,-1.92
S&P 500,LSTM,Long Short,dropout_0.10,-7.1176,19.6112,81.1542,18.2888,-36.2935,-3.1831,15.57,-18.75
S&P 500,LSTM,Long Only,batch_16,2.0569,13.258,52.5785,11.8166,15.5146,0.6069,11.46,-10.85
S&P 500,LSTM,Long Short,batch_16,-5.1711,19.5793,74.7432,18.36,-26.4113,-1.8273,0.04,-1.87
S&P 500,LSTM,Long Only,batch_64,2.6089,12.2432,42.1029,5.1116,21.3087,1.3204,1.39,-0.07
S&P 500,LSTM,Long Short,batch_64,-4.3927,19.5901,75.7036,13.2238,-22.4232,-1.3011,0.49,-1.79
S&P 500,LSTM-ARIMA,Long Only,base,-0.4127,13.6187,50.5454,15.2909,-3.0306,-0.0247,5.79,-5.81
S&P 500,LSTM-ARIMA,Long Short,base,-9.6226,19.6057,86.9691,18.36,-49.0804,-5.4304,7.18,-12.61
S&P 500,LSTM-ARIMA,Long Only,dropout_0.05,3.2839,9.8754,27.2594,5.2868,33.2535,4.006,12.99,-8.98
S&P 500,LSTM-ARIMA,Long Short,dropout_0.05,-3.6313,19.5576,71.4443,12.9035,-18.5674,-0.9437,0.49,-1.43
S&P 500,LSTM-ARIMA,Long Only,dropout_0.10,1.3087,14.1346,52.5785,11.8084,9.2589,0.2305,4.35,-4.12
S&P 500,LSTM-ARIMA,Long Short,dropout_0.10,-6.3351,19.6013,80.1631,18.36,-32.3197,-2.5541,-0.44,-2.11
S&P 500,LSTM-ARIMA,Long Only,batch_16,-0.1203,12.4444,50.6432,15.2799,-0.9668,-0.0023,9.11,-9.11
S&P 500,LSTM-ARIMA,Long Short,batch_16,-9.3671,19.5926,86.2773,18.36,-47.8094,-5.1907,-2.79,-2.4
S&P 500,LSTM-ARIMA,Long Only,batch_64,1.7226,13.3204,47.2575,5.4073,12.932,0.4714,0.18,0.29
S&P 500,LSTM-ARIMA,Long Short,batch_64,-5.7766,19.5835,72.5868,18.3381,-29.4971,-2.3474,0.9,-3.25
FTSE 100,ARIMA,Long Only,base,0.7717,14.4194,45.7959,7.2033,5.3521,0.0902,-1.91,2.0
FTSE 100,ARIMA,Long Short,base,-2.011,18.0352,59.1482,18.3409,-11.1503,-0.3791,0.07,-0.45
FTSE 100,ARIMA,Long Only,arima_orders_0_3,0.6052,14.4643,45.7959,7.1869,4.1838,0.0553,-1.26,1.32
FTSE 100,ARIMA,Long Short,arima_orders_0_3,-2.3222,18.0358,59.1482,18.3409,-12.8753,-0.5055,0.63,-1.14
FTSE 100,ARIMA,Long Only,arima_bic,0.9559,14.4215,45.7959,7.0527,6.628,0.1383,-1.23,1.37
FTSE 100,ARIMA,Long Short,arima_bic,-1.6519,18.0352,59.1482,18.3409,-9.1596,-0.2558,0.58,-0.84
FTSE 100,LSTM,Long Only,base,1.567,11.977,32.7589,3.9179,13.0836,0.6258,1.44,-0.81
FTSE 100,LSTM,Long Short,base,-1.0928,18.0598,48.5409,18.6256,-6.051,-0.1362,0.67,-0.81
FTSE 100,LSTM,Long Only,dropout_0.05,3.3142,13.0143,25.2263,8.7556,25.466,3.3457,2.26,1.09
FTSE 100,LSTM,Long Short,dropout_0.05,2.6059,18.0571,44.315,11.7536,14.4315,0.8486,2.15,-1.3
FTSE 100,LSTM,Long Only,dropout_0.10,4.0747,12.3729,30.3625,6.0753,32.9326,4.4197,2.12,2.3
FTSE 100,LSTM,Long Short,dropout_0.10,3.9526,18.0552,38.6661,7.9097,21.8917,2.2379,4.39,-2.15
FTSE 100,LSTM,Long Only,batch_16,3.7557,12.5974,31.5947,6.089,29.8136,3.544,0.78,2.76
FTSE 100,LSTM,Long Short,batch_16,3.3739,18.0596,51.6593,12.6352,18.6822,1.2202,5.4,-4.18
FTSE 100,LSTM,Long Only,batch_64,5.0925,12.7867,32.6964,2.4504,39.8266,6.2031,-0.04,6.24
FTSE 100,LSTM,Long Short,batch_64,6.1103,18.0347,33.9787,4.8734,33.8807,6.0927,0.46,5.63
FTSE 100,LSTM-ARIMA,Long Only,base,4.2511,12.6255,31.7225,5.4428,33.6705,4.5121,7.19,-2.68
FTSE 100,LSTM-ARIMA,Long Short,base,4.3706,18.0597,49.9044,10.412,24.201,2.1195,16.65,-14.53
FTSE 100,LSTM-ARIMA,Long Only,dropout_0.05,5.1345,12.9678,30.8499,4.2847,39.5947,6.59,1.55,5.04
FTSE 100,LSTM-ARIMA,Long Short,dropout_0.05,6.243,18.0453,43.2441,9.2512,34.5962,4.9945,3.01,1.98
FTSE 100,LSTM-ARIMA,Long Only,dropout_0.10,3.5809,11.8248,27.8979,3.6304,30.2829,3.887,2.35,1.54
FTSE 100,LSTM-ARIMA,Long Short,dropout_0.10,2.8328,18.0496,39.2921,15.8823,15.6947,1.1315,1.4,-0.27
FTSE 100,LSTM-ARIMA,Long Only,batch_16,3.3787,12.5608,34.3108,7.2991,26.8984,2.6487,1.68,0.97
FTSE 100,LSTM-ARIMA,Long Short,batch_16,2.6148,18.058,52.0801,11.091,14.4801,0.727,-0.04,0.77
FTSE 100,LSTM-ARIMA,Long Only,batch_64,5.8766,12.7722,29.745,2.0808,46.0111,9.0903,0.03,9.06
FTSE 100,LSTM-ARIMA,Long Short,batch_64,7.6936,18.0438,34.8599,7.6277,42.6387,9.4104,1.96,7.45
CAC 40,ARIMA,Long Only,base,3.0045,16.6541,56.1933,8.5585,18.0408,0.9646,-1.93,2.89
CAC 40,ARIMA,Long Short,base,0.6291,21.4382,70.802,14.245,2.9346,0.0261,-0.21,0.24
CAC 40,ARIMA,Long Only,arima_orders_0_3,2.5092,16.662,56.1933,8.7858,15.0594,0.6724,-2.86,3.53
CAC 40,ARIMA,Long Short,arima_orders_0_3,-0.3354,21.4456,70.802,18.6283,-1.564,-0.0074,-1.06,1.05
CAC 40,ARIMA,Long Only,arima_bic,2.7718,16.5154,56.1933,8.5585,16.7833,0.8279,-2.35,3.18
CAC 40,ARIMA,Long Short,arima_bic,0.1285,21.4399,70.802,16.0931,0.5993,0.0011,-0.53,0.53
CAC 40,LSTM,Long Only,base,1.695,14.8745,43.3567,6.8337,11.3954,0.4455,1.43,-0.98
CAC 40,LSTM,Long Short,base,-2.4588,21.4669,57.9311,18.5845,-11.4541,-0.4862,0.97,-1.46
CAC 40,LSTM,Long Only,dropout_0.05,2.2341,15.6048,46.9461,6.8638,14.3165,0.6813,5.38,-4.7
CAC 40,LSTM,Long Short,dropout_0.05,-1.2008,21.4584,59.4504,7.9124,-5.5959,-0.113,-0.13,0.02
